name,rating,company_type,employee_count,ownership_status,company_age,head_quarters,reviews,salaries,interviews,jobs,benefits
Kanpur Fertilizers & Chemicals,3.9,Agro Chemicals,501-1k Employees,N/A,13 years old,Kanpur,227,992,15,--,17
Busibud,4.0,Emerging Technologies,11-50 Employees,N/A,10 years old,Greater Los Angeles,227,106,30,8,10
ProConnect Integrated Logistics,4.1,Logistics,51-200 Employees,N/A,11 years old,Chennai,226,1.4k,9,--,26
Cordova Publication,3.4,Printing & Publishing,11-50 Employees,N/A,14 years old,Delhi/NCR,226,744,2,--,27
The Dow Chemical Company,4.4,Chemicals,1k-5k Employees,N/A,66 years old,Midland,226,1.5k,8,9,40
Ubisoft Entertainment,4.0,Gaming,1k-5k Employees,N/A,37 years old,Montreuil,226,1.7k,21,1,50
Subway,4.2,Hospitality,1k-5k Employees,N/A,58 years old,Milford,226,720,13,--,35
ArcGate,3.6,IT Services & Consulting,1k-5k Employees,N/A,18 years old,Udaipur,226,962,15,13,23
Stovekraft,3.7,Consumer Electronics & Appliances,1k-5k Employees,N/A,29 years old,Bangalore/Bengaluru,226,1.3k,10,--,28
Shah Technical Consultants,3.5,Telecom,51-200 Employees,N/A,14 years old,Mumbai,226,791,11,2,23
Centre For Sight,4.0,Healthcare,501-1k Employees,N/A,27 years old,Delhi,226,960,11,13,31
Allanasons,3.8,Food Processing,1k-5k Employees,N/A,158 years old,Mumbai,226,1.1k,10,31,41
ICRA,3.2,Financial Services,201-500 Employees,Public,32 years old,Gurgaon/Gurugram,226,1.6k,11,77,33
Zydex Industries,4.1,Chemicals,501-1k Employees,N/A,26 years old,Vadodara/Baroda,226,920,13,3,33
CPM India Sales & Marketing,4.1,Marketing & Advertising,501-1k Employees,N/A,15 years old,New Delhi,226,1.1k,4,15,28
Vedant Fashions,3.8,Fashion & Textile,1k-5k Employees,N/A,21 years old,Kolkata,226,1.1k,10,--,25
Emblix Solutions,4.9,IT Services & Consulting,51-200 Employees,N/A,11 years old,Hyderabad/Secunderabad,226,91,2,19,46
Helloverify,3.4,Law Enforcement & Security,201-500 Employees,Startup,11 years old,Noida,226,1.2k,15,34,31
AQM Technologies,3.3,IT Services & Consulting,1k-5k Employees,N/A,23 years old,Mumbai,226,2.1k,25,15,21
Expleo Group,3.8,IT Services & Consulting,10k-50k Employees,N/A,6 years old,Saint Quentin en Yvelines,226,3.2k,23,73,24
Roche Diagnostics,3.7,Pharma,201-500 Employees,Conglomerate,127 years old,Basel,225,1.2k,10,2,26
Vayam Info Solutions,3.8,Recruitment,201-500 Employees,N/A,13 years old,Noida,225,987,11,--,20
