name,rating,company_type,employee_count,ownership_status,company_age,head_quarters,reviews,salaries,interviews,jobs,benefits
Avantor,3.7,Biotechnology,1k-5k Employees,Public,119 years old,Radnor Township,184,1.6k,15,42,25
Innoviti Technologies Private Limited,3.3,IT Services & Consulting,201-500 Employees,N/A,15 years old,Bangalore,184,1.3k,13,24,20
Classplus,3.3,Software Product,201-500 Employees,Startup,8 years old,Noida,184,1.2k,19,63,22
Purplle.com,3.8,Beauty & Personal Care,201-500 Employees,Indian Unicorn,12 years old,Mumbai,183,1.1k,11,66,27
Suresh Surana & Associates,3.4,Accounting & Auditing,1k-5k Employees,N/A,39 years old,Mumbai,183,917,6,20,20
Zeta,3.4,Emerging Technologies,501-1k Employees,Indian Unicorn,8 years old,Bangalore,183,1.7k,22,70,24
Doubletree By Hilton,3.9,Hospitality,501-1k Employees,N/A,54 years old,Virginia,183,629,4,--,27
Excelra Knowledge Solutions,3.7,IT Services & Consulting,501-1k Employees,N/A,22 years old,Hyderabad,183,906,19,42,21
Pinkerton,4.0,Law Enforcement & Security,501-1k Employees,N/A,173 years old,Ann Arbor,183,954,10,2,14
Reliable Autotech,4.3,Auto Components,1k-5k Employees,N/A,38 years old,Nasik/Nashik,183,969,6,1,32
Equinox Labs,4.0,Other,51-200 Employees,N/A,18 years old,Mumbai,183,659,20,--,24
ICICI Foundation for Inclusive Growth,4.0,Non-Profit,201-500 Employees,N/A,15 years old,Mumbai,183,648,10,5,26
Born Group,3.7,Marketing & Advertising,1k-5k Employees,N/A,12 years old,New York,183,1.4k,13,15,20
Piramal Glass,4.2,Packaging,1k-5k Employees,N/A,39 years old,Mumbai,183,859,7,--,30
Gujarat State Fertilizers & Chemicals,4.6,Agro Chemicals,1k-5k Employees,Fortune India 500,61 years old,Vadodara/Baroda,183,896,9,2,20
Koenig Solutions,3.9,Education & Training,501-1k Employees,N/A,30 years old,Delhi/NCR,183,823,14,19,25
Super Auto Forge,3.7,Industrial Machinery,201-500 Employees,N/A,48 years old,Chennai,183,1.3k,6,--,29
Save the Children,4.3,Non-Profit,201-500 Employees,N/A,15 years old,Fairfield,183,787,5,5,27
Webkul Software,4.0,IT Services & Consulting,501-1k Employees,N/A,13 years old,Noida,183,1.1k,23,31,38
Hgs Services,4.0,Analytics & KPO,10k-50k Employees,N/A,23 years old,Bengaluru,183,770,45,--,38
Kosamattam Finance,3.4,Investment Banking / Venture Capital / Private Equity,51-200 Employees,N/A,36 years old,Kottayam,183,746,5,2,14
Cognizant Softvision,3.8,IT Services & Consulting,501-1k Employees,N/A,29 years old,New York City,183,1.2k,38,--,33
Carnival Cinemas,3.4,Media & Entertainment,201-500 Employees,N/A,11 years old,Mumbai,183,1.1k,7,2,25
Sanoh,4.2,Auto Components,201-500 Employees,N/A,84 years old,Tokyo,183,871,6,--,32
Pitti Engineering Solutions,4.1,Industrial Machinery,501-1k Employees,Public,40 years old,Hyderabad,183,1.1k,12,--,24
Fingent,4.6,IT Services & Consulting,201-500 Employees,N/A,20 years old,New York,183,684,13,24,107
Spacewood,3.5,Furniture & Furnishing,201-500 Employees,N/A,29 years old,Nagpur,182,1.2k,4,5,21
Tata Green Batteries,4.2,Auto Components,201-500 Employees,N/A,18 years old,Pune,182,532,10,--,13
Unique Identification Authority of India,4.0,IT Services & Consulting,501-1k Employees,Public,14 years old,New Delhi,182,737,5,--,13
Sungard Availability Services,4.0,IT Services & Consulting,51-200 Employees,N/A,55 years old,Jacksonville,182,1.6k,8,21,45
Sakra World Hospital,4.0,Healthcare,1k-5k Employees,N/A,10 years old,Bangalore/Bengaluru,182,804,6,--,33
Simpa Energy,4.3,Power,51-200 Employees,N/A,13 years old,Bangalore,182,546,1,--,25
Aarti Steels,3.9,Iron & Steel,1k-5k Employees,Public,44 years old,Ludhiana,182,1k,13,8,29
TCPL Packaging,4.1,Packaging,1k-5k Employees,Public,36 years old,Bangalore,182,1.1k,9,1,24
TMF Group,3.8,Financial Services,501-1k Employees,N/A,35 years old,Amsterdam,182,1.4k,9,29,23
RNF Technologies,3.9,IT Services & Consulting,201-500 Employees,N/A,14 years old,Noida,182,1k,11,8,69
Amrutanjan Health Care,4.0,Pharma,1k-5k Employees,Public,130 years old,Chennai,182,551,11,1,17
Cipla Industries,4.0,Pharma,11-50 Employees,N/A,25 years old,New Delhi,182,1.1k,9,--,32
Dee Vee Projects,3.8,Engineering & Construction,51-200 Employees,N/A,34 years old,Raipur,182,826,8,--,30
Omninos Solutions,4.3,Software Product,201-500 Employees,N/A,7 years old,Chandigarh,182,186,8,--,71
Dvara KGFS,4.1,Financial Services,1k-5k Employees,N/A,15 years old,Chennai,182,733,10,6,24
Omninos Solutions,4.3,Software Product,201-500 Employees,N/A,7 years old,Chandigarh,182,186,8,--,71
Freelancer.com,4.3,N/A,10k-50k Employees,N/A,12 years old,Delhi,182,27.5k,42,596,13
Maxicus,3.9,N/A,51-200 Employees,N/A,20 years old,Gurgaon,182,292,12,2,81
Swiss Re,4.1,Insurance,1k-5k Employees,Public,160 years old,Zurich,181,1.7k,13,6,29
Accord Synergy,3.9,Hardware & Networking,51-200 Employees,Public,9 years old,Vadodara/Baroda,181,525,5,--,14
Control Print,3.8,Consumer Electronics & Appliances,501-1k Employees,Public,32 years old,Mumbai,181,1.1k,12,7,32
Krishnapatnam Port,4.1,Ports & Shipping,501-1k Employees,N/A,15 years old,Nellore,181,904,3,--,37
SOPAN,3.9,Industrial Machinery,1k-5k Employees,N/A,22 years old,Pune,181,886,9,--,22
R L Fine Chem,3.6,Healthcare,201-500 Employees,N/A,39 years old,Bangalore/Bengaluru,181,1.3k,10,--,29
Tenon Facility Management,3.5,Facility Management Services,201-500 Employees,N/A,28 years old,Gurgaon/Gurugram,181,1k,10,--,16
SBI Capital Markets,3.7,N/A,501-1k Employees,Public,37 years old,Mumbai,181,1.5k,12,--,16
Azmeel Contracting,3.2,Engineering & Construction,1k-5k Employees,N/A,35 years old,Al Jubail,181,347,1,--,20
Property Solutions,3.9,Facility Management Services,501-1k Employees,N/A,23 years old,Mumbai,181,1.3k,4,19,11
Newgen Knowledge Works,3.5,Printing & Publishing,1k-5k Employees,N/A,27 years old,Chennai,181,1.2k,6,2,28
Saurav Chemicals,3.7,Pharma,201-500 Employees,N/A,32 years old,Panchkula,181,890,9,10,24
Jaguar Land Rover,3.9,Automobile,1k-5k Employees,N/A,101 years old,Coventry,181,1.3k,18,--,20
Allahabad Bank,4.2,Banking,10k-50k Employees,N/A,158 years old,Chennai,181,559,2,--,23
Neon Laboratories,3.7,Pharma,1k-5k Employees,Public,41 years old,Mumbai,181,1k,4,--,16
UNICEF,3.8,Non-Profit,201-500 Employees,N/A,77 years old,New York,181,606,15,6,25
Tenon Facility Management,3.5,Facility Management Services,201-500 Employees,N/A,28 years old,Gurgaon/Gurugram,181,1k,10,--,16
L&T Heavy Civil Infrastructure,4.2,Engineering & Construction,5k-10k Employees,N/A,N/A,N/A,181,881,17,--,105
HOLITECH INDIA,3.8,Electronics Manufacturing,51-200 Employees,N/A,N/A,N/A,181,754,22,--,46
Yellow Diamond,4.2,FMCG,1k-5k Employees,Public,14 years old,Indore,181,776,10,2,17
Vashi Integrated Solutions Limited,4.1,Industrial Machinery,501-1k Employees,N/A,45 years old,Mumbai,181,1.1k,7,15,26
PreludeSys,3.4,IT Services & Consulting,501-1k Employees,N/A,24 years old,Irvine,180,1.1k,15,81,28
Fluentgrid,4.0,IT Services & Consulting,501-1k Employees,N/A,25 years old,Hyderabad/Secunderabad,180,1.4k,17,50,31
VAYA Finserv,4.2,Financial Services,1k-5k Employees,Startup,9 years old,Hyderabad,180,608,9,--,20
Jaguar Security Services,4.5,Law Enforcement & Security,1k-5k Employees,N/A,33 years old,Noida,180,621,14,8,31
Ipsos,3.4,Analytics & KPO,1k-5k Employees,N/A,48 years old,Paris,180,1.4k,10,--,23
Maharishi Vidya Mandir,4.2,Education & Training,5k-10k Employees,N/A,40 years old,Bhopal,180,609,7,--,20
Paperchase Accountancy,3.4,N/A,1k-5k Employees,N/A,34 years old,New York,180,1.1k,14,--,17
Ace Designers,4.1,Industrial Machinery,201-500 Employees,N/A,44 years old,Bangalore/Bengaluru,180,1k,9,--,38
Government of West Bengal,3.5,Government,10k-50k Employees,N/A,76 years old,Howrah,180,763,6,--,16
Jacobs,4.2,N/A,N/A,N/A,N/A,N/A,180,684,11,4,--
Toyota Tsusho,4.2,Metals & Mining,501-1k Employees,Public,24 years old,Nagoya,180,1.4k,8,19,27
Cargo Service Center India,3.4,Logistics,501-1k Employees,N/A,29 years old,Mumbai,180,765,8,1,26
Danieli,3.6,Industrial Machinery,501-1k Employees,N/A,109 years old,Buttrio,180,1.2k,5,--,29
Sales India,4.1,Retail,501-1k Employees,N/A,52 years old,Ahmedabad,180,1.6k,17,7,19
Atibir Industries,3.5,Iron & Steel,501-1k Employees,N/A,23 years old,Giridih,180,778,2,--,30
Sel Manufacturing Co.,3.5,Fashion & Textile,1k-5k Employees,Public,54 years old,Ludhiana,180,787,7,--,23
LKQ INDIA,3.9,Auto Components,1k-5k Employees,Forbes Global 2000,25 years old,Bengaluru/Bangalore,180,1.4k,13,1,27
Keihin India Manufacturing,4.1,Auto Components,51-200 Employees,N/A,67 years old,Noida,180,995,5,--,31
MEP Infrastructure Developers,3.5,Engineering & Construction,1k-5k Employees,Public,21 years old,Noida,180,1.1k,9,13,18
Motherson Sumi Wiring,3.9,Building Material,N/A,Fortune India 500,N/A,N/A,180,1.1k,13,--,6
Perkins,4.6,Engineering & Construction,51-200 Employees,N/A,91 years old,Gurgaon/Gurugram,179,923,8,--,25
Shopclues,3.9,Internet,1k-5k Employees,Indian Unicorn,12 years old,Gurgaon/Gurugram,179,1.4k,3,8,24
Softtek,4.1,IT Services & Consulting,501-1k Employees,N/A,41 years old,Bengaluru/Bangalore,179,1.7k,10,10,30
Ivy Hospital,3.9,Healthcare,501-1k Employees,N/A,15 years old,Mohali,179,821,5,15,13
Envestnet Asset Management,4.0,Financial Services,1k-5k Employees,Public,24 years old,Thiruvananthapuram,179,1.5k,13,2,25
Advanced Micro Devices,3.9,Semiconductors,5k-10k Employees,Forbes Global 2000,54 years old,Gurgaon/Gurugram,179,1.6k,10,251,17
Allegis Global Solutions,3.6,Recruitment,501-1k Employees,N/A,22 years old,Gurgaon/Gurugram,179,1.2k,4,163,20
Galaxy Weblinks,4.0,IT Services & Consulting,501-1k Employees,N/A,23 years old,Indore,179,725,8,45,87
Zuari Agro Chemicals,4.0,Agro Chemicals,501-1k Employees,Public,56 years old,Gurgaon/Gurugram,179,767,4,--,24
Wirtgen India,4.1,Industrial Machinery,501-1k Employees,N/A,62 years old,Gurgaon/Gurugram,179,912,10,--,28
Marksans Pharma,3.4,Pharma,201-500 Employees,Public,31 years old,Goa,179,1.1k,7,1,19
Amelia,3.1,N/A,N/A,N/A,N/A,N/A,179,756,11,17,1
Zudio,3.9,Retail,1k-5k Employees,N/A,N/A,N/A,179,616,8,--,14
Kent plc,4.4,Oil & Gas,501-1k Employees,N/A,104 years old,Noida,179,283,5,7,--
GITAM University,4.1,Education & Training,1k-5k Employees,Conglomerate,43 years old,Visakhapatnam,179,865,12,11,20
Softcell Technologies,4.0,IT Services & Consulting,501-1k Employees,N/A,34 years old,Mumbai,179,1.7k,12,36,17
Polyhose,3.9,Industrial Machinery,201-500 Employees,N/A,27 years old,Chennai,178,1.4k,7,--,22
Monnet Group,4.3,Metals & Mining,501-1k Employees,Public,33 years old,Raipur,178,623,8,3,17
Jagran Prakashan,4.0,Printing & Publishing,501-1k Employees,Public,48 years old,Kanpur,178,995,3,2,14
Nuclear Power Corporation of India,3.9,Power,10k-50k Employees,State,36 years old,Mumbai,178,883,27,--,31
Perfios Software Solutions,4.4,FinTech,1k-5k Employees,N/A,15 years old,Mumbai,178,956,7,44,14
e-Centric Solutions,3.4,IT Services & Consulting,201-500 Employees,N/A,21 years old,Hyderabad,178,826,--,3,16
Knoldus Inc,4.0,IT Services & Consulting,201-500 Employees,N/A,13 years old,Mississauga,178,495,13,9,34
Rooman Technologies,3.2,Education & Training,201-500 Employees,N/A,24 years old,Bangalore/Bengaluru,178,860,6,4,19
MidasCare Pharmaceuticals,3.2,Pharma,201-500 Employees,N/A,37 years old,Mumbai,178,707,6,--,13
Organic India,4.0,FMCG,501-1k Employees,N/A,26 years old,Delhi/NCR,178,879,12,1,22
Immacule Life Sciences,4.1,Pharma,201-500 Employees,N/A,11 years old,Nalagarh,178,754,13,--,17
Cure foods,4.0,Fitness & Wellness,501-1k Employees,Startup,7 years old,Bangalore,178,759,13,1,33
R.K.M Powergen,3.9,Power,201-500 Employees,N/A,19 years old,Chennai,178,1k,12,--,29
HCL Healthcare,4.2,Healthcare,501-1k Employees,N/A,9 years old,Noida,178,724,12,20,23
CANTABIL RETAIL INDIA,4.0,Fashion & Textile,1k-5k Employees,Public,23 years old,Delhi/NCR,177,781,11,8,14
Alivira Animal Health,3.4,Pharma,201-500 Employees,Public,9 years old,Mumbai,177,933,12,6,22
ARCADIS,4.3,IT Services & Consulting,1k-5k Employees,Public,14 years old,Amsterdam,177,1.1k,21,79,44
Deepak Phenolics,4.5,Chemicals,201-500 Employees,N/A,12 years old,Vadodara,177,1.4k,14,--,33
Motorola,3.9,Consumer Electronics & Appliances,1k-5k Employees,N/A,95 years old,Chicago,177,1.1k,13,2,11
PCS Technology,4.0,IT Services & Consulting,1k-5k Employees,Public,42 years old,Pune,177,432,1,6,12
Alghanim International,4.1,Engineering & Construction,10k-50k Employees,N/A,63 years old,Kuwait City,177,736,4,--,26
TALENTEDGE,3.2,EdTech,201-500 Employees,Startup,11 years old,Mumbai,177,1.1k,16,13,19
eBIZ.com,3.9,EdTech,51-200 Employees,N/A,22 years old,Noida,177,227,2,--,32
Canvera,3.3,Printing & Publishing,501-1k Employees,N/A,16 years old,Bangalore,177,760,5,15,17
Motorola,3.9,Consumer Electronics & Appliances,1k-5k Employees,N/A,95 years old,Chicago,177,1.1k,13,2,11
Manipal University,3.9,Education & Training,1k-5k Employees,N/A,70 years old,Manipal,177,946,13,14,22
Zee Learn,3.7,Education & Training,201-500 Employees,Public,7 years old,Mumbai,177,922,8,--,32
Gravita,4.3,Metals & Mining,201-500 Employees,Public,31 years old,Jaipur,177,990,10,--,31
ONPASSIVE,3.7,IT Services & Consulting,1k-5k Employees,N/A,5 years old,Orlando,177,872,17,62,37
Welspun Global Brands,3.7,Fashion & Textile,10k-50k Employees,Public,23 years old,Mumbai,177,902,3,4,22
Dataflow Group,2.9,IT Services & Consulting,51-200 Employees,N/A,5 years old,Noida,177,806,5,8,36
Civica India,4.0,IT Services & Consulting,1k-5k Employees,N/A,22 years old,N/A,177,1.3k,20,28,16
Avanze Technologies,2.8,IT Services & Consulting,501-1k Employees,N/A,8 years old,Florida,177,992,13,4,14
KSB Limited - Irrigation & Process Division (IPD),3.9,Industrial Machinery,1k-5k Employees,N/A,N/A,N/A,177,1.4k,11,--,18
Walsons Facility Solutions,4.0,Recruitment,5k-10k Employees,Conglomerate,27 years old,Gurgaon/Gurugram,177,1k,2,17,29
Zee Media Corporation,3.5,Media & Entertainment,1k-5k Employees,Public,24 years old,Noida,176,1.2k,7,4,21
Prione Business Services,4.4,Retail,501-1k Employees,N/A,9 years old,Bangalore/Bengaluru,176,1.1k,6,16,51
La-Gajjar Machineries,4.2,Electronics Manufacturing,51-200 Employees,N/A,88 years old,Ahmedabad,176,738,7,--,25
Vertex,3.6,Pharma,501-1k Employees,Conglomerate,34 years old,King Of Prussia,176,612,3,4,29
Chennai Petroleum Corporation,4.5,Oil & Gas,1k-5k Employees,Public,58 years old,Chennai,176,1.1k,10,--,21
Jayashree Polymers,3.6,Auto Components,201-500 Employees,N/A,39 years old,Pune,176,1.2k,11,--,18
Xplore-Tech Services,3.0,BPO,51-200 Employees,N/A,19 years old,Kolkata,176,755,15,9,26
Lam Research,3.9,Semiconductors,1k-5k Employees,Forbes Global 2000,43 years old,Fremont,176,1.5k,24,4,30
Amazon Distributors,4.2,N/A,N/A,N/A,N/A,N/A,176,112,2,--,1
Outworx Solutions,3.6,IT Services & Consulting,1k-5k Employees,N/A,20 years old,San Jose,176,1.3k,9,72,10
PPD,4.1,Pharma,1k-5k Employees,N/A,67 years old,Waltham,176,1.2k,12,74,32
KnowledgeHut,4.3,EdTech,501-1k Employees,N/A,12 years old,Wilmington,176,730,7,13,6
Paul Merchants,4.2,NBFC,1k-5k Employees,Public,39 years old,Chandigarh,176,502,2,8,10
BMW,4.3,Automobile,1k-5k Employees,Forbes Global 2000,107 years old,Munich,176,1.2k,10,1,19
Trantor,3.5,IT Services & Consulting,501-1k Employees,N/A,11 years old,Menlo Park,176,1.6k,19,52,36
INOX Air Products,4.2,Chemicals,1k-5k Employees,N/A,60 years old,Mumbai,176,1.2k,8,--,25
Marathon Realty,4.2,Real Estate,201-500 Employees,N/A,54 years old,Mumbai,176,988,6,15,21
Oriental Carbon & Chemicals,4.2,Chemicals / Agri Inputs,201-500 Employees,Public,45 years old,Noida,176,875,11,--,34
PC Financial Services,3.9,Financial Services,201-500 Employees,N/A,28 years old,Gurgaon/Gurugram,176,710,8,1,35
ESAF CO-OPERATIVE,3.7,Financial Services,10k-50k Employees,N/A,31 years old,Thrissur,176,668,10,--,22
SpeedLabs,3.5,Education & Training,51-200 Employees,Startup,8 years old,Mumbai,176,396,9,21,14
Aditya Birla Housing Finance,4.0,Financial Services,1k-5k Employees,Public,14 years old,Mumbai,175,134,6,--,--
Sri Gopikrishna Infrastructure,3.6,Engineering & Construction,51-200 Employees,N/A,16 years old,Hyderabad/Secunderabad,175,586,3,--,29
NXP Semiconductors,4.1,Semiconductors,1k-5k Employees,Public,54 years old,Eindhoven,175,1.8k,23,33,24
Kalyani Motors,3.8,Automobile,501-1k Employees,N/A,17 years old,Bengaluru/Bangalore,175,1.1k,8,16,18
Emirates Flight Catering,4.3,Hospitality,201-500 Employees,Public,41 years old,Bengaluru/Bangalore,175,300,12,--,34
Fiat Chrysler Automobiles,3.6,Automobile,1k-5k Employees,Public,9 years old,Pune,175,1.5k,7,--,30
PaySquare Consultancy,3.9,Recruitment,201-500 Employees,N/A,23 years old,Bengaluru/Bangalore,175,1.4k,7,7,16
RND Softech,3.6,BPO,1k-5k Employees,N/A,24 years old,Coimbatore,175,1.1k,14,3,15
Global Hospital Pune India,4.1,N/A,51-200 Employees,N/A,11 years old,Bengaluru/Bangalore,175,650,2,3,27
Chandan Steel,3.5,Metals & Mining,11-50 Employees,Public,54 years old,Umbergaon,175,1k,9,1,11
Hudson's Bay Company,3.7,Retail,501-1k Employees,N/A,353 years old,Bengaluru/Bangalore,175,1.4k,11,22,29
VHS Consulting,3.5,IT Services & Consulting,11-50 Employees,N/A,14 years old,Bengaluru/Bangalore,175,1.3k,10,--,6
Sigma Engineered Solutions,4.2,N/A,N/A,N/A,N/A,N/A,175,1k,11,--,16
SSF PLASTICS,3.9,Petrochemicals,501-1k Employees,N/A,17 years old,Bengaluru/Bangalore,175,1.1k,9,--,18
Atomberg Technologies,4.2,Consumer Electronics & Appliances,201-500 Employees,Startup,11 years old,Bengaluru/Bangalore,175,1.1k,10,42,26
Motherhood Hospital,3.6,Healthcare,1k-5k Employees,N/A,15 years old,Bengaluru/Bangalore,175,1.1k,8,13,15
PrimeXBT,4.7,FinTech,11-50 Employees,N/A,5 years old,London,175,8,--,--,14
Systems Plus Transformations,4.5,IT Services & Consulting,201-500 Employees,N/A,N/A,N/A,174,362,7,4,28
RASI SEEDS,4.2,Agriculture,501-1k Employees,N/A,50 years old,Bengaluru/Bangalore,174,681,6,2,23
Qentelli,4.1,IT Services & Consulting,501-1k Employees,N/A,8 years old,N/A,174,1.1k,12,36,82
Ford Business Services Center,4.4,Automobile,5k-10k Employees,N/A,25 years old,Chennai,174,1.5k,12,--,32
Binary Semantics,3.9,IT Services & Consulting,501-1k Employees,N/A,37 years old,Bengaluru/Bangalore,174,1.3k,13,24,25
AISATS,3.7,Aviation,5k-10k Employees,N/A,15 years old,Bengaluru/Bangalore,174,490,7,--,24
Netaxis IT Solutions,3.6,IT Services & Consulting,1-10 Employees,N/A,23 years old,Chennai,174,279,8,4,116
Duroflex,4.1,N/A,501-1k Employees,N/A,60 years old,Bangalore,174,1.1k,7,6,21
Avalara Technologies,4.0,IT Services & Consulting,1k-5k Employees,N/A,19 years old,Seattle,174,1.5k,15,160,26
Indian Institute of Science,4.4,Education & Training,501-1k Employees,N/A,114 years old,Bangalore/Bengaluru,174,1.2k,13,4,17
HPM Chemicals & Fertilizers,4.5,Agro Chemicals,501-1k Employees,N/A,46 years old,New Delhi,174,442,4,1,101
Bliss Gvs Pharma,3.9,Pharma,501-1k Employees,Public,39 years old,Mumbai,174,1.2k,11,9,16
Garden Silk Mills,3.9,Fashion & Textile,1k-5k Employees,Public,44 years old,Surat,174,763,1,--,30
Stelmec,3.5,Electronics Manufacturing,501-1k Employees,Public,39 years old,Mumbai,174,1.3k,13,2,17
Brink's,4.3,Logistics,201-500 Employees,N/A,164 years old,Farmers Branch,174,691,6,3,30
Tekwissen,4.6,IT Services & Consulting,201-500 Employees,N/A,14 years old,Ann Arbor,174,325,2,68,9
Sundaram Motors,3.8,Automobile,51-200 Employees,N/A,25 years old,Chennai,174,728,4,1,15
Rashtriya Chemicals and Fertilizers,4.2,Agro Chemicals,1k-5k Employees,Central,56 years old,Mumbai,174,636,5,--,17
Birla white,4.0,Building Material,1-10 Employees,N/A,35 years old,Mumbai,174,543,11,--,26
Bandhan KOnnagar,3.5,Non-Profit,201-500 Employees,N/A,22 years old,Kolkata,174,536,9,1,28
Presto Infosolutions,3.8,Hardware & Networking,501-1k Employees,N/A,23 years old,Delhi/NCR,174,1k,5,11,11
Guiltfree Industries,3.5,FMCG,201-500 Employees,Public,7 years old,Kolkata,174,720,14,52,15
The Co-operative Bank,4.0,Banking,201-500 Employees,N/A,151 years old,Manchester,174,847,5,--,23
Scaleneworks,3.5,Recruitment,501-1k Employees,N/A,13 years old,Bangalore,173,986,6,212,5
Vcs Quality Services,4.3,Oil & Gas,51-200 Employees,N/A,21 years old,Mumbai,173,725,6,3,33
Anu Industries,3.7,Packaging,201-500 Employees,N/A,49 years old,Delhi/NCR,173,976,4,--,21
Msn Life Sciences,4.2,N/A,N/A,N/A,N/A,N/A,173,290,6,--,24
The Fern Residency,3.9,Hospitality,501-1k Employees,N/A,14 years old,Mumbai,173,879,2,--,17
Som Autotech,3.8,Auto Components,201-500 Employees,N/A,12 years old,Aurangabad,173,816,9,--,17
The New India Assurance Co.,4.4,Insurance,10k-50k Employees,Public,104 years old,Mumbai,173,580,6,--,25
Ashok Iron Works,3.5,Industrial Machinery,1k-5k Employees,N/A,49 years old,Belagavi/Belgaum,173,983,6,--,21
ICICI Direct,3.7,Financial Services,201-500 Employees,N/A,28 years old,Mumbai,173,1k,15,--,19
Cavisson Systems,3.5,IT Services & Consulting,501-1k Employees,N/A,12 years old,Santa Clara,173,1.8k,7,6,33
AIG,4.2,Insurance,10k-50k Employees,Forbes Global 2000,14 years old,New York,173,1.9k,8,3,34
Tata Housing Development Company,3.9,Real Estate,1k-5k Employees,Public,39 years old,Mumbai,173,1k,5,3,30
Evoke Technologies,3.9,IT Services & Consulting,1k-5k Employees,N/A,20 years old,Dayton,173,2k,13,7,19
Head Field Solutions,3.2,Recruitment,501-1k Employees,N/A,16 years old,New Delhi,173,891,14,1,24
Kamineni Hospitals,4.0,Healthcare,1k-5k Employees,N/A,28 years old,Hyderabad/Secunderabad,173,737,7,9,20
Walkaroo International,3.8,Fashion & Textile,5k-10k Employees,N/A,N/A,N/A,173,1.1k,11,13,21
Empower Pragati,3.3,Education & Training,201-500 Employees,N/A,13 years old,Delhi/NCR,172,646,8,--,14
B4S Solutions,3.9,Law Enforcement & Security,11-50 Employees,N/A,34 years old,Ghaziabad,172,675,3,2,24
Raksha TPA,3.8,Insurance,201-500 Employees,N/A,21 years old,Delhi/NCR,172,861,5,17,13
Aegis Logistics,3.8,Oil & Gas,1k-5k Employees,Public,67 years old,Mumbai,172,1k,13,3,25
Faiveley Transport,4.1,N/A,501-1k Employees,N/A,154 years old,Pittsburgh,172,862,8,8,32
Insecticides India,4.5,Agro Chemicals,1k-5k Employees,Public,21 years old,Delhi/NCR,172,975,11,--,19
IBM Info Services,4.2,IT Services & Consulting,501-1k Employees,N/A,24 years old,Chennai,172,1.3k,27,--,30
NIKE,4.4,Fashion & Textile,1k-5k Employees,Public,59 years old,Beaverton,172,1.1k,14,5,23
Trivitron Healthcare,3.8,Medical Equipment,501-1k Employees,N/A,26 years old,Chennai,172,970,15,26,27
Tokai Rubber Auto Parts India,3.8,Industrial Machinery,51-200 Employees,N/A,15 years old,Bangalore/Bengaluru,172,850,12,--,31
Income Tax Department India,4.4,Government,1k-5k Employees,N/A,163 years old,Delhi/NCR,172,937,10,--,17
Acg Pam Pharma Technologies,4.0,Packaging,1k-5k Employees,N/A,59 years old,Mumbai,172,934,8,--,27
Insecticides India,4.5,Agro Chemicals,1k-5k Employees,Public,21 years old,Delhi/NCR,172,975,11,--,19
DCM Shriram Industries,4.1,N/A,N/A,N/A,N/A,N/A,172,680,9,--,--
Jodas Expoim,3.5,Pharma,201-500 Employees,N/A,17 years old,Hyderabad/Secunderabad,172,978,18,5,16
IBM Info Services,4.2,IT Services & Consulting,501-1k Employees,N/A,24 years old,Chennai,172,1.3k,27,--,30
ISRO Satellite Center,4.5,Defence & Aerospace,10k-50k Employees,N/A,47 years old,Bengaluru,172,999,9,--,17
Parle Elizabeth Tools,3.8,Industrial Machinery,201-500 Employees,N/A,15 years old,Mumbai,172,901,11,--,23
Aspiro Pharma,3.6,Pharma,51-200 Employees,Startup,11 years old,Bangalore,172,862,7,--,20
CEC International,4.6,Engineering & Construction,201-500 Employees,N/A,78 years old,Taipei,171,463,2,--,27
GlobalStep,3.3,IT Services & Consulting,501-1k Employees,N/A,16 years old,Dallas,171,1.4k,14,12,24
Pace Power Systems,3.6,Electrical Equipment,501-1k Employees,N/A,74 years old,Bangalore/Bengaluru,171,589,8,--,12
Qatar Petroleum,4.3,Oil & Gas,501-1k Employees,N/A,49 years old,Doha,171,678,11,--,28
Fortune Park Hotels,4.0,Hospitality,5k-10k Employees,N/A,28 years old,Gurgaon,171,560,5,--,24
Ninestars Information Technologies,3.3,IT Services & Consulting,501-1k Employees,N/A,24 years old,Bangalore,171,1.4k,6,22,13
Autocomp Corporation Panse,3.5,Auto Components,51-200 Employees,N/A,40 years old,Pune,171,1k,9,2,15
Geetanjali Medical College and Hospital,4.4,Healthcare,1k-5k Employees,N/A,16 years old,Udaipur,171,643,5,--,15
GlobalStep,3.3,IT Services & Consulting,501-1k Employees,N/A,16 years old,Dallas,171,1.4k,14,12,24
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,4.0,Government,501-1k Employees,Public,9 years old,New Delhi,171,528,6,--,22
Fidelis Technology Services,3.8,IT Services & Consulting,1k-5k Employees,N/A,13 years old,Bengaluru,171,1.2k,8,1,13
Autocomp Corporation Panse,3.5,Auto Components,51-200 Employees,N/A,40 years old,Pune,171,1k,9,2,15
Teamspace Financial Services,4.2,Financial Services,201-500 Employees,N/A,19 years old,Mumbai,171,764,9,--,15
Vacmet India,4.1,Packaging,501-1k Employees,Public,30 years old,Agra,171,1.1k,8,--,29
Radheya Machining,3.6,Industrial Machinery,51-200 Employees,N/A,23 years old,Pune,171,759,8,--,20
Brawn Laboratories,3.5,Healthcare,501-1k Employees,N/A,33 years old,Delhi/NCR,171,800,3,4,19
Faasos Food Services,3.7,Internet,1k-5k Employees,Indian Unicorn,13 years old,Pune,170,669,1,--,18
